,Depth_ft,Caliper_in,source_file,Diameter_auger_in,calibrated_in,calibrated_cm,Well_Diameter_Deviation_Percentage,Depth [m]
21107,3.39267,8.1604,LRS65S_caliper_20210910.LAS,8,9.66385120249369,24.546182054333975,20.79814003117113,-1.034085816
21108,3.29296,8.11901,LRS65S_caliper_20210910.LAS,8,9.620589570604992,24.43629750933668,20.257369632562394,-1.003694208
21109,3.19325,8.04128,LRS65S_caliper_20210910.LAS,8,9.539344664910175,24.229935448871846,19.241808311377184,-0.9733026
21110,3.09354,8.01891,LRS65S_caliper_20210910.LAS,8,9.515963106433484,24.170546290341047,18.949538830418543,-0.9429109920000001
21111,2.99383,7.97753,LRS65S_caliper_20210910.LAS,8,9.472711926739008,24.060688293917078,18.408899084237596,-0.912519384
21112,2.89412,7.8875,LRS65S_caliper_20210910.LAS,8,9.378610822149987,23.821671488260968,17.23263527687484,-0.882127776
21113,2.79441,7.81759,LRS65S_caliper_20210910.LAS,8,9.305539532337498,23.636070412137247,16.319244154218726,-0.8517361680000001
21114,2.6947,7.82486,LRS65S_caliper_20210910.LAS,8,9.313138277537567,23.65537122494542,16.414228469219584,-0.8213445600000001
21115,2.595,7.7846,LRS65S_caliper_20210910.LAS,8,9.27105774359606,23.548486668733993,15.888221794950752,-0.7909560000000001
21116,2.49529,7.74042,LRS65S_caliper_20210910.LAS,8,9.224879949519163,23.431195071778674,15.310999368989542,-0.7605643919999999
21117,2.39558,7.74657,LRS65S_caliper_20210910.LAS,8,9.231308048966264,23.44752244437431,15.391350612078302,-0.730172784
21118,2.29587,7.70631,LRS65S_caliper_20210910.LAS,8,9.189227515024756,23.34063788816288,14.865343937809449,-0.699781176
21119,2.19616,7.71078,LRS65S_caliper_20210910.LAS,8,9.193899645842405,23.35250510043971,14.923745573030068,-0.669389568
21120,2.09645,7.74154,LRS65S_caliper_20210910.LAS,8,9.226050595272131,23.434168511991214,15.325632440901638,-0.63899796
21121,1.99674,7.77845,LRS65S_caliper_20210910.LAS,8,9.26462964414896,23.532159296138357,15.807870551861992,-0.608606352
21122,1.89703,7.75999,LRS65S_caliper_20210910.LAS,8,9.245334893613434,23.483150629778123,15.56668617016792,-0.5782147440000001
21123,1.79732,7.80361,LRS65S_caliper_20210910.LAS,8,9.290927364813845,23.598955506627167,16.13659206017306,-0.547823136
21124,1.69761,7.73762,LRS65S_caliper_20210910.LAS,8,9.221953335136744,23.42376147124733,15.274416689209303,-0.517431528
21125,1.5979,7.74993,LRS65S_caliper_20210910.LAS,8,9.234819986225167,23.456442765011925,15.43524982781459,-0.48703992000000007
21126,1.49819,7.83884,LRS65S_caliper_20210910.LAS,8,9.32775044506122,23.6924861304555,16.59688056326525,-0.456648312
21127,1.39849,7.79746,LRS65S_caliper_20210910.LAS,8,9.284499265366744,23.58262813403153,16.0562408170843,-0.42625975200000005
21128,1.29878,7.77174,LRS65S_caliper_20210910.LAS,8,9.257616221825375,23.514345203436452,15.720202772817181,-0.39586814400000003
21129,1.19907,7.80249,LRS65S_caliper_20210910.LAS,8,9.289756719060877,23.595982066414628,16.121958988260964,-0.365476536
21130,1.09936,7.76559,LRS65S_caliper_20210910.LAS,8,9.251188122378274,23.498017830840816,15.639851529728421,-0.335084928
21131,0.999648,7.82654,LRS65S_caliper_20210910.LAS,8,9.314894246167018,23.659831385264226,16.436178077087725,-0.3046927104
21132,0.899939,7.90763,LRS65S_caliper_20210910.LAS,8,9.399651089120741,23.875113766366685,17.495638614009266,-0.2743014072
21133,87.9486,5.25747,LRS69D_caliper_20210910.LAS,6,6.629652384937267,16.839317057740658,10.494206415621116,-26.80673328
21134,87.8489,5.14619,LRS69D_caliper_20210910.LAS,6,6.513340367624525,16.543884533766292,8.555672793742081,-26.77634472
21135,87.7492,5.03882,LRS69D_caliper_20210910.LAS,6,6.401115158252948,16.258832501962488,6.68525263754914,-26.745956160000002
21136,87.6495,5.06986,LRS69D_caliper_20210910.LAS,6,6.433558769120917,16.34123927356713,7.225979485348614,-26.715567600000004
21137,87.5498,5.07237,LRS69D_caliper_20210910.LAS,6,6.436182269870872,16.347902965472016,7.269704497847866,-26.68517904
21138,87.4501,5.47333,LRS69D_caliper_20210910.LAS,6,6.8552734494333905,17.412394561560813,14.254557490556508,-26.654790480000003
21139,87.3504,5.81586,LRS69D_caliper_20210910.LAS,6,7.213292458151341,18.321762843704406,20.221540969189014,-26.62440192
21140,87.2506,5.62964,LRS69D_caliper_20210910.LAS,6,7.018651697331977,17.82737531122322,16.977528288866285,-26.593982880000002
21141,87.1509,5.49738,LRS69D_caliper_20210910.LAS,6,6.880410976539532,17.47624388041041,14.673516275658871,-26.56359432
21142,87.0512,5.41601,LRS69D_caliper_20210910.LAS,6,6.795361472147567,17.26021813925482,13.256024535792784,-26.53320576
21143,86.9515,5.65033,LRS69D_caliper_20210910.LAS,6,7.040277287179215,17.882304309435206,17.337954786320253,-26.5028172
21144,86.8518,6.1184,LRS69D_caliper_20210910.LAS,6,7.529513142171804,19.12496338111638,25.4918857028634,-26.47242864
21145,86.7521,6.08596,LRS69D_caliper_20210910.LAS,6,7.495606224112626,19.03883980924607,24.926770401877096,-26.44204008
21146,86.6524,6.3776,LRS69D_caliper_20210910.LAS,6,7.8004340164300965,19.813102401732447,30.007233607168278,-26.411651520000003
21147,86.5527,6.77269,LRS69D_caliper_20210910.LAS,6,8.213389757983757,20.862009985278743,36.889829299729286,-26.38126296
21148,86.453,6.94465,LRS69D_caliper_20210910.LAS,6,8.393125689841225,21.318539252196715,39.885428164020425,-26.350874400000002
21149,86.3533,6.99805,LRS69D_caliper_20210910.LAS,6,8.44894040699166,21.460308633758817,40.81567344986101,-26.320485840000003
21150,86.2536,7.03524,LRS69D_caliper_20210910.LAS,6,8.48781211730673,21.559042777959093,41.46353528844549,-26.290097280000005
21151,86.1538,7.04223,LRS69D_caliper_20210910.LAS,6,8.495118201068557,21.577600230714136,41.58530335114261,-26.259678240000003
21152,86.0541,7.0537,LRS69D_caliper_20210910.LAS,6,8.507106867842255,21.60805144431933,41.78511446403759,-26.229289680000004
21153,85.9544,6.95667,LRS69D_caliper_20210910.LAS,6,8.405689227297184,21.35045063733485,40.09482045495307,-26.198901120000002
21154,85.8547,7.13143,LRS69D_caliper_20210910.LAS,6,8.588351773537074,21.814413504784167,43.1391962256179,-26.16851256
21155,85.755,7.14373,LRS69D_caliper_20210910.LAS,6,8.601207972431276,21.84706824997544,43.35346620718792,-26.138124
21156,85.6553,7.14373,LRS69D_caliper_20210910.LAS,6,8.601207972431276,21.84706824997544,43.35346620718792,-26.10773544
21157,85.5556,7.18176,LRS69D_caliper_20210910.LAS,6,8.64095766706107,21.94803247433512,44.01596111768449,-26.07734688
21158,85.4559,7.18791,LRS69D_caliper_20210910.LAS,6,8.64738576650817,21.964359846930755,44.12309610846951,-26.04695832
21159,85.3562,7.1907,LRS69D_caliper_20210910.LAS,6,8.650301928696367,21.97176689888877,44.17169881160611,-26.016569760000003
21160,85.2565,7.18791,LRS69D_caliper_20210910.LAS,6,8.64738576650817,21.964359846930755,44.12309610846951,-25.9861812
21161,85.1568,7.06768,LRS69D_caliper_20210910.LAS,6,8.521719035365908,21.64516634982941,42.02865058943181,-25.955792640000002
21162,85.057,6.41926,LRS69D_caliper_20210910.LAS,6,7.843977857562814,19.923703758209548,30.73296429271357,-25.9253736
21163,84.9573,5.61454,LRS69D_caliper_20210910.LAS,6,7.0028688840553555,17.787286965500602,16.71448140092259,-25.89498504
21164,84.8576,5.15094,LRS69D_caliper_20210910.LAS,6,6.518305159880416,16.556495106096257,8.63841933134027,-25.864596480000003
21165,84.7579,5.64697,LRS69D_caliper_20210910.LAS,6,7.036765349920311,17.873383988797592,17.279422498671856,-25.834207920000004
21166,84.6582,7.26788,LRS69D_caliper_20210910.LAS,6,8.730971963708926,22.176668787820674,45.516199395148774,-25.80381936
21167,84.5585,6.89711,LRS69D_caliper_20210910.LAS,6,8.343435958505426,21.19232733460378,39.05726597509043,-25.7734308
21168,84.4588,6.05437,LRS69D_caliper_20210910.LAS,6,7.462587742562396,18.954972866108484,24.376462376039928,-25.74304224
21169,84.3591,5.37799,LRS69D_caliper_20210910.LAS,6,6.755622229711995,17.159280463468466,12.59370382853325,-25.71265368
21170,84.2594,5.77392,LRS69D_caliper_20210910.LAS,6,7.169455955580382,18.210418127174172,19.49093259300637,-25.68226512
21171,84.1597,5.75071,LRS69D_caliper_20210910.LAS,6,7.145196412788966,18.148798888483974,19.086606879816102,-25.65187656
21172,84.06,5.52506,LRS69D_caliper_20210910.LAS,6,6.909342650148597,17.549730331377436,15.155710835809947,-25.621488000000003
21173,83.9602,5.37463,LRS69D_caliper_20210910.LAS,6,6.752110292453091,17.150360142830852,12.535171540884852,-25.59106896
21174,83.8605,5.21609,LRS69D_caliper_20210910.LAS,6,6.586401205242792,16.729459061316692,9.7733534207132,-25.560680400000003
