run_id,timestamp,stage,well_id,date,method_signature,input_file,output_file,params_json,notes
748c9595,2026-05-06T12:38:00,smoothing,AW5D,20220213,savgol-w11-o3-seg,data\raw\sec\2022_02\AW5_D_YSI_20220213.csv,data\processed\sec\2022_02\savgol\AW5D_20220213__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""depth_adj_value"":null,""gradient_factor"":20.0,""log10"":true,""method"":""savgol"",""min_gradient_threshold"":1000.0,""monotonic_descent"":true,""order"":3,""segmented"":true,""window"":11}",
c94b7a7c,2026-05-06T12:38:00,smoothing,AW5D,20220213,lowess-f0.05-i2-pava,data\raw\sec\2022_02\AW5_D_YSI_20220213.csv,data\processed\sec\2022_02\lowess\AW5D_20220213__lowess-f0.05-i2-pava.csv,"{""degree"":1,""depth_adj"":null,""depth_adj_value"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""monotonic_descent"":true,""pava"":true}",
748c9595,2026-05-06T12:38:02,smoothing,AW6D,20220219,savgol-w11-o3-seg,data\raw\sec\2022_02\AW6_D_YSI_20220219.csv,data\processed\sec\2022_02\savgol\AW6D_20220219__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""depth_adj_value"":null,""gradient_factor"":20.0,""log10"":true,""method"":""savgol"",""min_gradient_threshold"":1000.0,""monotonic_descent"":true,""order"":3,""segmented"":true,""window"":11}",
c94b7a7c,2026-05-06T12:38:02,smoothing,AW6D,20220219,lowess-f0.05-i2-pava,data\raw\sec\2022_02\AW6_D_YSI_20220219.csv,data\processed\sec\2022_02\lowess\AW6D_20220219__lowess-f0.05-i2-pava.csv,"{""degree"":1,""depth_adj"":null,""depth_adj_value"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""monotonic_descent"":true,""pava"":true}",
748c9595,2026-05-06T12:38:04,smoothing,BW3D,20220202,savgol-w11-o3-seg,data\raw\sec\2022_02\BW3_D_YSI_20220202.csv,data\processed\sec\2022_02\savgol\BW3D_20220202__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""depth_adj_value"":null,""gradient_factor"":20.0,""log10"":true,""method"":""savgol"",""min_gradient_threshold"":1000.0,""monotonic_descent"":true,""order"":3,""segmented"":true,""window"":11}",
c94b7a7c,2026-05-06T12:38:05,smoothing,BW3D,20220202,lowess-f0.05-i2-pava,data\raw\sec\2022_02\BW3_D_YSI_20220202.csv,data\processed\sec\2022_02\lowess\BW3D_20220202__lowess-f0.05-i2-pava.csv,"{""degree"":1,""depth_adj"":null,""depth_adj_value"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""monotonic_descent"":true,""pava"":true}",
748c9595,2026-05-06T12:38:06,smoothing,LRS69D,20220212,savgol-w11-o3-seg,data\raw\sec\2022_02\LRS69_D_YSI_20220212.csv,data\processed\sec\2022_02\savgol\LRS69D_20220212__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""depth_adj_value"":null,""gradient_factor"":20.0,""log10"":true,""method"":""savgol"",""min_gradient_threshold"":1000.0,""monotonic_descent"":true,""order"":3,""segmented"":true,""window"":11}",
c94b7a7c,2026-05-06T12:38:07,smoothing,LRS69D,20220212,lowess-f0.05-i2-pava,data\raw\sec\2022_02\LRS69_D_YSI_20220212.csv,data\processed\sec\2022_02\lowess\LRS69D_20220212__lowess-f0.05-i2-pava.csv,"{""degree"":1,""depth_adj"":null,""depth_adj_value"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""monotonic_descent"":true,""pava"":true}",
748c9595,2026-05-06T12:38:08,smoothing,LRS70D,20220131,savgol-w11-o3-seg,data\raw\sec\2022_02\LRS70_D_YSI_20220131.csv,data\processed\sec\2022_02\savgol\LRS70D_20220131__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""depth_adj_value"":null,""gradient_factor"":20.0,""log10"":true,""method"":""savgol"",""min_gradient_threshold"":1000.0,""monotonic_descent"":true,""order"":3,""segmented"":true,""window"":11}",
c94b7a7c,2026-05-06T12:38:09,smoothing,LRS70D,20220131,lowess-f0.05-i2-pava,data\raw\sec\2022_02\LRS70_D_YSI_20220131.csv,data\processed\sec\2022_02\lowess\LRS70D_20220131__lowess-f0.05-i2-pava.csv,"{""degree"":1,""depth_adj"":null,""depth_adj_value"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""monotonic_descent"":true,""pava"":true}",
748c9595,2026-05-06T12:47:49,smoothing,AW5D,20220213,savgol-w11-o3-seg,data\raw\sec\2022_02\AW5_D_YSI_20220213.csv,data\processed\sec\2022_02\savgol\AW5D_20220213__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""depth_adj_value"":null,""gradient_factor"":20.0,""log10"":true,""method"":""savgol"",""min_gradient_threshold"":1000.0,""monotonic_descent"":true,""order"":3,""segmented"":true,""window"":11}",
c94b7a7c,2026-05-06T12:47:50,smoothing,AW5D,20220213,lowess-f0.05-i2-pava,data\raw\sec\2022_02\AW5_D_YSI_20220213.csv,data\processed\sec\2022_02\lowess\AW5D_20220213__lowess-f0.05-i2-pava.csv,"{""degree"":1,""depth_adj"":null,""depth_adj_value"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""monotonic_descent"":true,""pava"":true}",
748c9595,2026-05-06T12:47:52,smoothing,AW6D,20220219,savgol-w11-o3-seg,data\raw\sec\2022_02\AW6_D_YSI_20220219.csv,data\processed\sec\2022_02\savgol\AW6D_20220219__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""depth_adj_value"":null,""gradient_factor"":20.0,""log10"":true,""method"":""savgol"",""min_gradient_threshold"":1000.0,""monotonic_descent"":true,""order"":3,""segmented"":true,""window"":11}",
c94b7a7c,2026-05-06T12:47:52,smoothing,AW6D,20220219,lowess-f0.05-i2-pava,data\raw\sec\2022_02\AW6_D_YSI_20220219.csv,data\processed\sec\2022_02\lowess\AW6D_20220219__lowess-f0.05-i2-pava.csv,"{""degree"":1,""depth_adj"":null,""depth_adj_value"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""monotonic_descent"":true,""pava"":true}",
748c9595,2026-05-06T12:47:54,smoothing,BW3D,20220202,savgol-w11-o3-seg,data\raw\sec\2022_02\BW3_D_YSI_20220202.csv,data\processed\sec\2022_02\savgol\BW3D_20220202__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""depth_adj_value"":null,""gradient_factor"":20.0,""log10"":true,""method"":""savgol"",""min_gradient_threshold"":1000.0,""monotonic_descent"":true,""order"":3,""segmented"":true,""window"":11}",
c94b7a7c,2026-05-06T12:47:54,smoothing,BW3D,20220202,lowess-f0.05-i2-pava,data\raw\sec\2022_02\BW3_D_YSI_20220202.csv,data\processed\sec\2022_02\lowess\BW3D_20220202__lowess-f0.05-i2-pava.csv,"{""degree"":1,""depth_adj"":null,""depth_adj_value"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""monotonic_descent"":true,""pava"":true}",
748c9595,2026-05-06T12:47:56,smoothing,LRS69D,20220212,savgol-w11-o3-seg,data\raw\sec\2022_02\LRS69_D_YSI_20220212.csv,data\processed\sec\2022_02\savgol\LRS69D_20220212__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""depth_adj_value"":null,""gradient_factor"":20.0,""log10"":true,""method"":""savgol"",""min_gradient_threshold"":1000.0,""monotonic_descent"":true,""order"":3,""segmented"":true,""window"":11}",
c94b7a7c,2026-05-06T12:47:56,smoothing,LRS69D,20220212,lowess-f0.05-i2-pava,data\raw\sec\2022_02\LRS69_D_YSI_20220212.csv,data\processed\sec\2022_02\lowess\LRS69D_20220212__lowess-f0.05-i2-pava.csv,"{""degree"":1,""depth_adj"":null,""depth_adj_value"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""monotonic_descent"":true,""pava"":true}",
748c9595,2026-05-06T12:47:58,smoothing,LRS70D,20220131,savgol-w11-o3-seg,data\raw\sec\2022_02\LRS70_D_YSI_20220131.csv,data\processed\sec\2022_02\savgol\LRS70D_20220131__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""depth_adj_value"":null,""gradient_factor"":20.0,""log10"":true,""method"":""savgol"",""min_gradient_threshold"":1000.0,""monotonic_descent"":true,""order"":3,""segmented"":true,""window"":11}",
c94b7a7c,2026-05-06T12:47:59,smoothing,LRS70D,20220131,lowess-f0.05-i2-pava,data\raw\sec\2022_02\LRS70_D_YSI_20220131.csv,data\processed\sec\2022_02\lowess\LRS70D_20220131__lowess-f0.05-i2-pava.csv,"{""degree"":1,""depth_adj"":null,""depth_adj_value"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""monotonic_descent"":true,""pava"":true}",
ca493aa1,2026-05-06T14:42:47,breakpoints,LRS70D,20220131,bp-savgol-max15-t3,data\raw\sec\2022_02\LRS70_D_YSI_20220131.csv,data\breakpoints\2022_02\LRS70D_20220131__bp-savgol-max15-t3.json,"{""max_breakpoints"":15,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-06T14:49:08
38d3cf17,2026-05-06T14:49:08,breakpoints,LRS70D,20220131,bp-lowess-max15-t3,data\raw\sec\2022_02\LRS70_D_YSI_20220131.csv,data\breakpoints\2022_02\LRS70D_20220131__bp-lowess-max15-t3.json,"{""max_breakpoints"":15,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-06T14:55:52
ca493aa1,2026-05-06T23:21:06,breakpoints,LRS70D,20220131,bp-savgol-max15-t3,data\raw\sec\2022_02\LRS70_D_YSI_20220131.csv,data\breakpoints\2022_02\LRS70D_20220131__bp-savgol-max15-t3.json,"{""max_breakpoints"":15,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-06T23:27:14
