Vertical Position [m],Corrected sp Cond [uS/cm]
1.381,5414.478106280183
1.388,5418.212483091778
1.405,5422.0376618357395
1.41,5426.037256038638
1.414,5429.928309178734
1.425,5433.821082125594
1.431,5437.708657004821
1.436,5441.5816618357385
1.444,5445.42579710144
1.449,5449.231555555546
1.453,5452.977333333323
1.462,5456.6681739130345
1.466,5460.231710144918
1.471,5463.672946859894
1.476,5466.992463768107
1.48,5470.189236714967
1.483,5473.245893719797
1.486,5476.191516908203
1.495,5479.058666666657
1.5,5481.879458937188
1.504,5484.550144927527
1.514,5487.111169082116
1.519,5489.568463768106
1.521,5491.9472657004735
1.529,5494.263227053131
1.534,5496.529719806753
1.536,5498.745507246367
1.544,5500.911246376802
1.55,5502.926840579701
1.555,5504.900560386463
1.561,5506.796792270521
1.573,5508.622782608686
1.578,5510.365314009651
1.582,5512.034009661826
1.595,5513.620057971005
1.601,5515.139710144917
1.605,5516.607806763275
1.621,5517.947961352647
1.63,5519.192657004822
1.637,5520.367323671488
1.652,5521.493371980667
1.66,5522.576193236705
1.667,5523.621855072454
1.674,5524.6318840579615
1.687,5525.600405797091
1.692,5526.49418357487
1.697,5527.344193236705
1.709,5528.156367149749
1.717,5528.935961352648
1.723,5529.68736231883
1.739,5530.42361352656
1.747,5531.151806763276
1.751,5531.889971014483
1.769,5532.6355748792175
1.778,5533.372560386464
1.786,5534.102531400957
1.792,5534.830222222212
1.806,5535.558724637671
1.811,5536.279710144918
1.813,5537.00231884057
1.827,5537.72166183574
1.833,5538.438125603855
1.837,5539.137932367139
1.846,5539.831884057961
1.85,5540.509526570038
1.851,5541.16568115941
1.859,5541.812444444435
1.863,5542.44541062801
1.867,5543.060560386463
1.878,5543.683342995159
1.885,5544.274376811584
1.891,5544.862415458928
1.895,5545.433236714966
1.911,5545.987806763274
1.918,5546.532560386463
1.924,5547.069816425111
1.941,5547.602666666657
1.95,5548.1325603864625
1.956,5548.659304347816
1.971,5549.164038647334
