ID,breakpoint_1 (sec),breakpoint_2 (sec),breakpoint_1 (vp),breakpoint_2 (vp),confidence_interval_1 (sec),confidence_interval_2 (sec),confidence_interval_1 (vp),confidence_interval_2 (vp)
BW4D_YSI_20230816,1419.6668589126664,47552.75742173522,14.12497414285331,23.463766033867785,"(np.float64(1395.3225287786424), np.float64(1444.0111890466903))","(np.float64(47397.142008001174), np.float64(47708.37283546927))","(np.float64(13.741358750439405), np.float64(14.13032757519868))","(np.float64(23.429227603496663), np.float64(23.64252075167443))"
BW5D_YSI_20230822,9515.944726133828,54391.143230353315,10.262300310511725,19.106530279276484,"(np.float64(9383.789877402329), np.float64(9648.099574865328))","(np.float64(54373.10774303271), np.float64(54409.178717673916))","(np.float64(10.050016537941444), np.float64(10.29090008712356))","(np.float64(19.10162705783148), np.float64(19.531937219332676))"
BW6D_YSI_20230826,647.2125351529454,31926.48999926983,9.706993741018968,21.199509521397353,"(np.float64(642.9713885135295), np.float64(651.4536817923613))","(np.float64(31782.742957172493), np.float64(32070.237041367167))","(np.float64(9.54985162449634), np.float64(9.708358478828242))","(np.float64(21.068366367220392), np.float64(21.244469284548106))"
BW7D_YSI_20230826,1161.1599494176821,44297.43504032338,10.109164931942274,17.84545466806575,"(np.float64(1159.1091770100768), np.float64(1163.2107218252875))","(np.float64(44267.61655141859), np.float64(44327.25352922816))","(np.float64(9.966995140013296), np.float64(10.10966567096214))","(np.float64(17.84204487278003), np.float64(17.881403093108368))"
BW8D_YSI_20230823,1757.1709589070158,49069.896893738136,14.618607819215933,17.93559293838876,"(np.float64(1723.436931240441), np.float64(1790.9049865735906))","(np.float64(49003.65035091013), np.float64(49136.14343656614))","(np.float64(14.30068180181478), np.float64(14.620970389723094))","(np.float64(17.927612304335483), np.float64(18.049108157576068))"
BW9D_YSI_20230823,3668.764890745918,49282.27109965945,12.398002821088205,15.809112012065482,"(np.float64(3622.338766973457), np.float64(3715.191014518379))","(np.float64(49145.712041828134), np.float64(49418.83015749076))","(np.float64(12.22153310231194), np.float64(12.404812501271351))","(np.float64(15.799820552777124), np.float64(16.042409293887566))"
LRS33D_YSI_20230822,12252.229261600703,52636.74309822158,15.663095291888418,21.63890572753845,"(np.float64(10937.778883066076), np.float64(13566.679640135331))","(np.float64(52601.96066272786), np.float64(52671.5255337153))","(np.float64(14.531206902593254), np.float64(15.796256289651218))","(np.float64(21.630557286032), np.float64(21.805395996987915))"
LRS65D_YSI_20220812,721.3377460756687,46444.41424367677,11.303492189419472,25.098543460407353,"(np.float64(720.2316469735852), np.float64(722.4438451777523))","(np.float64(46352.9863377156), np.float64(46535.842149637945))","(np.float64(11.13113333072144), np.float64(11.303972749466476))","(np.float64(25.08499903987604), np.float64(25.131127179178883))"
LRS69D_YSI_20230818,1132.378493684895,50274.80643407356,8.241151590184584,22.705197250878058,"(np.float64(1120.0707262254905), np.float64(1144.6862611442994))","(np.float64(50219.845292710954), np.float64(50329.76757543616))","(np.float64(8.110676206438349), np.float64(8.246642795519698))","(np.float64(22.692860881131814), np.float64(22.762591289784282))"
LRS70D_YSI_20230822,549.1713474519548,50831.37196849347,10.6681098710112,13.487240615511723,"(np.float64(539.0182119114382), np.float64(559.3244829924714))","(np.float64(50799.174238862746), np.float64(50863.56969812419))","(np.float64(10.137154115991212), np.float64(10.668897402785525))","(np.float64(13.480656746633738), np.float64(13.613583583348285))"
