id,method,fwl_thickness,mean,std,cv,min,max,median,25%,50%,75%,iqr,count,outliers
BW6D_YSI_20230826,IC,11.879274,762.9579940720337,449.0855484592243,0.5886111056552145,386.7,1672.4,531.9,529.9,531.9,901.175,371.275,2850,556
BW6D_YSI_20230826,BIC,11.879274,762.9579940720337,449.0855484592243,0.5886111056552145,386.7,1672.4,531.9,529.9,531.9,901.175,371.275,2850,556
BW6D_YSI_20230826,DGH,9.706993741018968,601.1043990169148,269.03072213694384,0.4475607275157762,386.7,1538.0,531.8,522.75,531.8,532.4,9.649999999999977,2402,915
BW7D_YSI_20230826,IC,13.17344,1315.6774804871345,337.30792973708145,0.25637584798684243,1016.8,2528.35,1101.5,1081.275,1101.5,1580.3125,499.0374999999999,3684,25
BW7D_YSI_20230826,BIC,13.17344,1315.6774804871345,337.30792973708145,0.25637584798684243,1016.8,2528.35,1101.5,1081.275,1101.5,1580.3125,499.0374999999999,3684,25
BW7D_YSI_20230826,DGH,10.109164931942274,1175.0488260033535,184.7892381104943,0.15726090186312558,1016.8,1694.8,1093.7,1076.25,1093.7,1204.2,127.95000000000005,2963,462
BW8D_YSI_20230823,IC,14.446272,1081.0742124261471,367.939242017514,0.34034596125624406,278.5,2373.9,862.5,856.5,862.5,1477.7,621.2,2501,0
BW8D_YSI_20230823,BIC,15.131973,1173.51589096714,627.3450605663604,0.5345859100802981,278.5,5487.0,865.4,856.6,865.4,1499.0,642.4,2593,81
BW8D_YSI_20230823,DGH,14.618607819215931,1095.3482397139778,395.11127640233775,0.360717497939752,278.5,3036.0,863.2,856.5,863.2,1486.7,630.2,2525,13
BW9D_YSI_20230823,IC,14.115026,2784.131396555216,1656.5302689661698,0.5949899746167806,1024.3,7159.4,2298.2,1395.9,2298.2,3704.0,2308.1,2357,0
BW9D_YSI_20230823,BIC,14.115026,2784.131396555216,1656.5302689661698,0.5949899746167806,1024.3,7159.4,2298.2,1395.9,2298.2,3704.0,2308.1,2357,0
BW9D_YSI_20230823,DGH,12.398002821088204,2240.1211521377486,1059.842342482166,0.4731183139227796,1024.3,5362.0,1750.875,1384.625,1750.875,2968.575,1583.9499999999998,2018,4
BW10D_YSI_20230825,IC,10.022717,1318.0023341604847,60.16445434616791,0.045648215323146814,1275.9,1553.9,1296.5,1287.3,1296.5,1303.5,16.200000000000045,1945,323
BW10D_YSI_20230825,BIC,10.022717,1318.0023341604847,60.16445434616791,0.045648215323146814,1275.9,1553.9,1296.5,1287.3,1296.5,1303.5,16.200000000000045,1945,323
BW10D_YSI_20230825,DGH,11.276225892491652,1384.4734441232902,183.38542349291845,0.13245860675142543,1275.9,2036.7,1297.1,1288.275,1297.1,1358.3875,70.11249999999995,2256,427
BW11D_YSI_20230823,IC,12.179764,510.7803757987389,77.58221103567762,0.15188956880803714,456.9,974.7,478.6,464.8,478.6,522.65,57.849999999999966,1968,161
BW11D_YSI_20230823,BIC,12.179764,510.7803757987389,77.58221103567762,0.15188956880803714,456.9,974.7,478.6,464.8,478.6,522.65,57.849999999999966,1968,161
BW11D_YSI_20230823,DGH,11.64505535703357,498.3653164299723,45.523750687255436,0.09134614546085129,456.9,637.2,476.8,464.4,476.8,508.6,44.200000000000045,1879,178
LRS33D_YSI_20230822,IC,12.996609,1833.919808204474,227.93710968399213,0.12428957289422447,1663.7,2346.3,1705.45,1695.4,1705.45,2004.6999999999998,309.2999999999997,2390,0
LRS33D_YSI_20230822,BIC,12.077056,1842.3606962143078,232.81524063376597,0.12636789370949778,1663.7,2346.3,1713.7,1695.0,1713.7,2026.35,331.3499999999999,2243,0
LRS33D_YSI_20230822,DGH,15.663095291888418,2966.3010809962084,2893.317050656052,0.9753956094316476,1663.7,11063.4,1717.9,1697.2,1717.9,2254.6499999999996,557.4499999999996,2806,403
LRS65D_YSI_20220812,IC,11.498005,808.5474102435751,271.76175902586084,0.3361110994641521,671.2,1733.5,684.05,675.3875,684.05,716.625,41.237499999999955,3048,632
LRS65D_YSI_20220812,BIC,11.498005,808.5474102435751,271.76175902586084,0.3361110994641521,671.2,1733.5,684.05,675.3875,684.05,716.625,41.237499999999955,3048,632
LRS65D_YSI_20220812,DGH,11.303492189419472,788.1990457793345,238.67297885959533,0.3028080027978296,671.2,1662.9,683.8,675.2,683.8,710.5875,35.38749999999993,2980,574
LRS69D_YSI_20230818,IC,7.60556,745.6177074775325,178.7144047006325,0.23968637400690712,361.6,954.7,853.8416666666667,653.525,853.8416666666667,861.2,207.67500000000007,914,0
LRS69D_YSI_20230818,BIC,7.60556,745.6177074775325,178.7144047006325,0.23968637400690712,361.6,954.7,853.8416666666667,653.525,853.8416666666667,861.2,207.67500000000007,914,0
LRS69D_YSI_20230818,DGH,8.241151590184584,793.6420448587586,246.35406285165888,0.3104095409858251,361.6,1722.6,855.1999999999999,677.45,855.1999999999999,862.1,184.64999999999998,995,151
