well_id,delta_m,cluster_id,depth_median,depth_min,depth_max,depth_iqr,n_savgol,n_lowess,persistence,agreement,cluster_diameter_m,wide_flag,n_bp_total
AW6D,0.5,2,4.103915758897757,3.9927669427112127,4.339502113460582,0.24345555744503722,2,2,4,2,0.3467351707493691,False,4
AW6D,0.5,4,7.259620330479578,6.9337371325340005,7.462496443821741,0.35780257391095294,2,2,4,2,0.5287593112877405,False,4
AW6D,0.5,5,8.653632834010395,8.598192971214884,8.72644198392095,0.06770754854549743,4,1,5,1,0.1282490127060658,False,5
AW6D,0.5,12,21.510222118902792,20.864137971804478,22.220815194422038,0.8260612596012642,1,3,4,1,1.3566772226175594,False,7
AW6D,0.5,1,3.2207072039733013,3.220707203973009,3.237234128940918,0.008263462483954154,1,2,3,1,0.01652692496790875,False,3
AW6D,0.5,3,5.746713590675575,5.7457068557507425,5.747720325600407,0.0010067349248323865,1,1,2,1,0.002013469849664773,False,2
AW6D,0.5,0,2.119093040221572,2.119093040221572,2.119093040221572,0.0,1,0,1,0,0.0,False,1
AW6D,0.5,8,15.428930587302657,15.428930587302657,15.428930587302657,0.0,0,1,1,0,0.0,False,1
AW6D,0.5,10,19.13949891759726,19.13949891759726,19.13949891759726,0.0,1,0,1,0,0.0,False,1
AW6D,0.5,11,20.017926360356743,20.017926360356743,20.017926360356743,0.0,0,1,1,0,0.0,False,1
BW3D,0.5,1,8.710535275442012,7.8209077707746975,8.972063519722067,0.20083313952070725,9,9,18,9,1.1511557489473692,False,21
BW3D,0.5,3,12.872395443759459,11.60385395115919,13.788445755654445,1.5280870699507378,8,8,16,8,2.1845918044952555,True,30
BW3D,0.5,10,23.6267619309187,23.051430172166146,23.781134015374764,0.27507598090407015,7,7,14,7,0.7297038432086183,False,14
BW3D,0.5,8,20.532465788634894,20.170090879463125,21.354291335607055,0.4208458754257869,5,8,13,5,1.1842004561439303,False,13
BW3D,0.5,5,17.649577441703627,17.344548418438908,17.84955963420276,0.2552007323664327,4,5,9,4,0.5050112157638509,False,9
BW3D,0.5,4,15.095020372573778,15.030622021658962,15.206119813648991,0.018728574460041614,2,4,6,2,0.17549779199002913,False,6
BW3D,0.5,11,26.320777159324123,26.219494113240025,26.437456704650067,0.14176395595282543,2,3,5,2,0.2179625914100427,False,5
BW3D,0.5,9,22.462830482345353,22.40741968139249,22.518241283298217,0.055410800952863326,1,1,2,1,0.11082160190572665,False,2
BW3D,0.5,2,11.006095580542478,10.989014631244924,11.010348467782684,0.014099516981882942,5,0,5,0,0.02133383653776022,False,5
BW3D,0.5,7,19.08631661813623,19.08562932550161,19.087003910770846,0.0006872926346197517,0,2,2,0,0.0013745852692359506,False,2
BW3D,0.5,0,4.910926448806866,4.910926448806866,4.910926448806866,0.0,1,0,1,0,0.0,False,1
BW3D,0.5,6,18.45040556902152,18.45040556902152,18.45040556902152,0.0,1,0,1,0,0.0,False,1
BW3D,0.5,12,27.727792388407348,27.727792388407348,27.727792388407348,0.0,0,1,1,0,0.0,False,1
LRS69D,0.5,1,8.296627553377927,8.048880467971221,8.687779724796947,0.2771853407138085,9,9,18,9,0.6388992568257255,False,18
LRS69D,0.5,2,10.77426946959713,10.202453755773687,11.103356987694784,0.35174109539982545,7,6,13,6,0.900903231921097,False,26
LRS69D,0.5,6,15.014618379223862,14.690386446587329,15.527628794021881,0.33304898638260916,6,7,13,6,0.8372423474345521,False,13
LRS69D,0.5,13,24.568716524091748,24.22433575038632,24.618154522818106,0.30492402453811707,5,5,10,5,0.39381877243178565,False,10
LRS69D,0.5,9,19.150278880356062,18.76049126094658,19.19961263644221,0.1243519351572786,4,4,8,4,0.4391213754956311,False,8
LRS69D,0.5,10,20.056054789801593,20.007080234355833,20.15141787419406,0.08424773116636075,4,4,8,4,0.144337639838227,False,8
LRS69D,0.5,0,7.162548765835259,7.083062162441995,7.1625487658352975,0.07511610224614085,3,2,5,2,0.0794866033933026,False,5
LRS69D,0.5,11,20.89043194208365,20.711007099050303,20.972914578760914,0.14946440450227882,2,2,4,2,0.26190747971061157,False,4
LRS69D,0.5,4,12.616697566772086,12.418047439820777,12.710685928706704,0.2044111671684945,1,3,4,1,0.2926384888859275,False,4
LRS69D,0.5,7,16.928243884110028,16.87474367448334,16.9342196259495,0.02973797573307735,2,1,3,1,0.05947595146615825,False,3
LRS69D,0.5,12,22.2315487884913,22.209506373560195,22.403576766310728,0.09703519637526625,1,2,3,1,0.1940703927505325,False,3
LRS69D,0.5,14,27.05698328180613,27.044022177549905,27.056983281806147,0.006480552128124373,2,1,3,1,0.01296110425624164,False,3
LRS69D,0.5,5,13.484794941648893,13.449323404685025,13.520266478612763,0.035471536963870065,1,1,2,1,0.07094307392773835,False,2
LRS69D,0.5,8,17.54523366447612,17.527975829303134,17.562491499649106,0.017257835172987512,1,1,2,1,0.03451567034597147,False,2
LRS69D,0.5,3,11.65836110309666,11.65836110309666,11.65836110309666,0.0,0,1,1,0,0.0,False,1
