delta_m,well_id,cluster_id,depth_median,depth_min,depth_max,depth_iqr,n_savgol,n_lowess,persistence,agreement,cluster_diameter_m,wide_flag,n_bp_total
0.3,LRS69D,1,8.296627553377927,8.048880467971221,8.687779724796947,0.2771853407138085,9,9,18,9,0.6388992568257255,False,18
0.3,LRS69D,3,10.928300669974849,10.594024801894614,11.103356987694784,0.3319466940017133,7,6,13,6,0.5093321858001705,False,20
0.3,LRS69D,7,14.982337073159682,14.690386446587329,15.208682965398612,0.25224722380999864,6,5,11,5,0.5182965188112831,False,11
0.3,LRS69D,15,24.568716524091748,24.22433575038632,24.618154522818106,0.30492402453811707,5,5,10,5,0.39381877243178565,False,10
0.3,LRS69D,11,19.150278880356062,18.76049126094658,19.19961263644221,0.1243519351572786,4,4,8,4,0.4391213754956311,False,8
0.3,LRS69D,12,20.056054789801593,20.007080234355833,20.15141787419406,0.08424773116636075,4,4,8,4,0.144337639838227,False,8
0.3,LRS69D,0,7.162548765835259,7.083062162441995,7.1625487658352975,0.07511610224614085,3,2,5,2,0.0794866033933026,False,5
0.3,LRS69D,13,20.89043194208365,20.711007099050303,20.972914578760914,0.14946440450227882,2,2,4,2,0.26190747971061157,False,4
0.3,LRS69D,5,12.616697566772086,12.418047439820777,12.710685928706704,0.2044111671684945,1,3,4,1,0.2926384888859275,False,4
0.3,LRS69D,9,16.928243884110028,16.87474367448334,16.9342196259495,0.02973797573307735,2,1,3,1,0.05947595146615825,False,3
0.3,LRS69D,14,22.2315487884913,22.209506373560195,22.403576766310728,0.09703519637526625,1,2,3,1,0.1940703927505325,False,3
0.3,LRS69D,16,27.05698328180613,27.044022177549905,27.056983281806147,0.006480552128124373,2,1,3,1,0.01296110425624164,False,3
0.3,LRS69D,6,13.484794941648893,13.449323404685025,13.520266478612763,0.035471536963870065,1,1,2,1,0.07094307392773835,False,2
0.3,LRS69D,10,17.54523366447612,17.527975829303134,17.562491499649106,0.017257835172987512,1,1,2,1,0.03451567034597147,False,2
0.3,LRS69D,2,10.204829692239155,10.202453755773687,10.24324658050833,0.02785052862834725,0,6,6,0,0.04079282473464296,False,6
0.3,LRS69D,8,15.5275590538448,15.527489313667722,15.527628794021881,6.974017708039071e-05,0,2,2,0,0.00013948035415900506,False,2
0.3,LRS69D,4,11.65836110309666,11.65836110309666,11.65836110309666,0.0,0,1,1,0,0.0,False,1
0.5,LRS69D,1,8.296627553377927,8.048880467971221,8.687779724796947,0.2771853407138085,9,9,18,9,0.6388992568257255,False,18
0.5,LRS69D,2,10.77426946959713,10.202453755773687,11.103356987694784,0.35174109539982545,7,6,13,6,0.900903231921097,False,26
0.5,LRS69D,6,15.014618379223862,14.690386446587329,15.527628794021881,0.33304898638260916,6,7,13,6,0.8372423474345521,False,13
0.5,LRS69D,13,24.568716524091748,24.22433575038632,24.618154522818106,0.30492402453811707,5,5,10,5,0.39381877243178565,False,10
0.5,LRS69D,9,19.150278880356062,18.76049126094658,19.19961263644221,0.1243519351572786,4,4,8,4,0.4391213754956311,False,8
0.5,LRS69D,10,20.056054789801593,20.007080234355833,20.15141787419406,0.08424773116636075,4,4,8,4,0.144337639838227,False,8
0.5,LRS69D,0,7.162548765835259,7.083062162441995,7.1625487658352975,0.07511610224614085,3,2,5,2,0.0794866033933026,False,5
0.5,LRS69D,11,20.89043194208365,20.711007099050303,20.972914578760914,0.14946440450227882,2,2,4,2,0.26190747971061157,False,4
0.5,LRS69D,4,12.616697566772086,12.418047439820777,12.710685928706704,0.2044111671684945,1,3,4,1,0.2926384888859275,False,4
0.5,LRS69D,7,16.928243884110028,16.87474367448334,16.9342196259495,0.02973797573307735,2,1,3,1,0.05947595146615825,False,3
0.5,LRS69D,12,22.2315487884913,22.209506373560195,22.403576766310728,0.09703519637526625,1,2,3,1,0.1940703927505325,False,3
0.5,LRS69D,14,27.05698328180613,27.044022177549905,27.056983281806147,0.006480552128124373,2,1,3,1,0.01296110425624164,False,3
0.5,LRS69D,5,13.484794941648893,13.449323404685025,13.520266478612763,0.035471536963870065,1,1,2,1,0.07094307392773835,False,2
