well_id,smoothing,N,bp_index,depth_bgl_m,sec_at_bp_uS_cm,cluster_id
AW6D,lowess,11,8,16.711099967625294,7619.94164504321,10
AW6D,lowess,11,9,17.78497043471115,12691.630475553844,10
AW6D,lowess,11,10,21.27113110014765,25609.241861400227,12
AW6D,lowess,11,11,22.220815194422,32717.694803991995,13
AW6D,lowess,12,1,4.208430268735012,385.47099871974547,2
AW6D,lowess,12,2,7.109102038735657,392.446322674112,4
AW6D,lowess,12,3,10.396908707525116,393.2723965890537,6
AW6D,lowess,12,4,11.559107205344576,1177.052321788165,6
AW6D,lowess,12,5,13.140580689756352,2182.9040694858277,7
AW6D,lowess,12,6,14.22829329898077,3783.1068529803297,8
AW6D,lowess,12,7,16.536131566907915,7262.669888539411,10
AW6D,lowess,12,8,17.049340679775586,8828.617053731341,10
AW6D,lowess,12,9,17.799610781390243,12913.350435424354,10
AW6D,lowess,12,10,18.745126991234635,15008.817322723931,10
AW6D,lowess,12,11,19.55846695829399,18605.956086667768,11
AW6D,lowess,12,12,20.874793843517356,23460.33873759009,12
AW6D,lowess,13,1,4.339647103614091,385.47099871974433,2
AW6D,lowess,13,2,5.717603089299072,389.4358190690791,3
AW6D,lowess,13,3,7.2153097967074435,392.2942887879747,4
AW6D,lowess,13,4,8.45953412603482,392.9640795388219,5
AW6D,lowess,13,5,10.408910507568597,393.12282399638235,6
AW6D,lowess,13,6,11.44105604579373,1076.2354747142583,6
AW6D,lowess,13,7,14.508925838100927,4116.861260082325,8
AW6D,lowess,13,8,16.712599168762388,7623.136155486847,10
AW6D,lowess,13,9,17.834031630247324,12998.88995698693,10
AW6D,lowess,13,10,18.701782060131087,14877.84801227293,10
AW6D,lowess,13,11,19.607227230959815,18801.63848945923,11
AW6D,lowess,13,12,21.093748533013585,24308.789912461358,12
AW6D,lowess,13,13,22.18826523054402,32539.81068248711,13
AW6D,lowess,14,1,4.3396471036142765,385.4709987197447,2
AW6D,lowess,14,2,5.717154430174532,389.4345215189415,3
AW6D,lowess,14,3,7.2016952949168065,392.26909178253646,4
AW6D,lowess,14,4,8.150361815785987,392.823446713563,5
AW6D,lowess,14,5,8.820269655475636,393.01356847232734,5
AW6D,lowess,14,6,10.396464769967684,393.1077472139051,6
AW6D,lowess,14,7,11.559240385527657,1177.2001980000957,6
AW6D,lowess,14,8,13.143934898961584,2185.4445254834814,7
AW6D,lowess,14,9,14.210268861639209,3753.9932554300826,8
AW6D,lowess,14,10,16.769244588081147,7791.23130487216,10
AW6D,lowess,14,11,17.823322733411864,12967.1021238031,10
AW6D,lowess,14,12,18.737771194990728,14984.87433864915,10
AW6D,lowess,14,13,19.56041210568698,18612.33114124721,11
AW6D,lowess,14,14,20.874793843517413,23460.338737590282,12
AW6D,lowess,15,1,4.339502113459926,385.47099871974984,2
AW6D,lowess,15,2,5.747720325600762,389.5220819360397,3
AW6D,lowess,15,3,7.4100288278761175,392.6043686816632,4
AW6D,lowess,15,4,10.396788842613152,393.22793380571846,6
AW6D,lowess,15,5,11.559425898722859,1177.4062129764366,6
AW6D,lowess,15,6,13.165480572222364,2203.451058200051,7
AW6D,lowess,15,7,14.11536525273189,3597.8611114008504,8
AW6D,lowess,15,8,15.52719326310348,5545.565953814344,9
AW6D,lowess,15,9,16.414881001522243,6915.684952808617,10
AW6D,lowess,15,10,17.08226215739284,8952.184329302037,10
AW6D,lowess,15,11,17.42902365462281,10734.436056215929,10
AW6D,lowess,15,12,17.8336469871635,13082.599581429673,10
AW6D,lowess,15,13,18.1969741701608,13721.943302428566,10
AW6D,lowess,15,14,21.31239583517316,25893.474807464656,12
AW6D,lowess,15,15,22.222780773682683,32727.533197709883,13
BW3D,savgol,1,1,21.35429133560707,34496.51397923644,8
BW3D,savgol,2,1,8.28222868362391,502.02830908017046,2
BW3D,savgol,2,2,17.84955963420276,19180.215523863295,6
BW3D,savgol,3,1,8.968494368271843,513.1176760305766,2
BW3D,savgol,3,2,13.608701863616663,5190.043091837779,3
BW3D,savgol,3,3,22.51824128329824,40045.30744956045,8
BW3D,savgol,4,1,8.95963176811532,512.8917153297507,2
BW3D,savgol,4,2,13.501624964968991,4884.316707145728,3
BW3D,savgol,4,3,20.40474116423512,26143.200262756334,8
BW3D,savgol,4,4,23.781134015374736,43332.6735763481,8
BW3D,savgol,5,1,8.760789103238798,508.74741022848616,2
BW3D,savgol,5,2,12.086454829637223,2184.8637888562007,3
BW3D,savgol,5,3,12.958901746196679,4253.1169623267215,3
BW3D,savgol,5,4,19.057002687245443,19353.01929354699,7
BW3D,savgol,5,5,23.382639299167224,42529.065684854686,8
BW3D,savgol,6,1,8.972063519722074,513.1554512233819,2
BW3D,savgol,6,2,13.788445755654438,5697.0288717656795,3
BW3D,savgol,6,3,15.097386332853304,6445.285120426211,4
BW3D,savgol,6,4,17.633131856872527,14583.148998457162,6
BW3D,savgol,6,5,23.093378909475994,40844.459026615856,8
BW3D,savgol,6,6,26.2464876682703,47345.25547198223,10
BW3D,savgol,7,1,4.5887151294874124,471.9005532772021,1
BW3D,savgol,7,2,8.82991554254008,508.3905404462888,2
BW3D,savgol,7,3,10.993329433144394,1412.1167161953595,3
BW3D,savgol,7,4,11.746825078701296,1668.6545698821906,3
BW3D,savgol,7,5,12.966641007281634,4326.761302027546,3
BW3D,savgol,7,6,20.44300424537599,26281.392001458848,8
BW3D,savgol,7,7,23.77328256538529,43309.007560247876,8
BW3D,savgol,8,1,4.908069985847163,477.81892187196735,1
BW3D,savgol,8,2,7.8329635826165855,493.38929981082856,2
BW3D,savgol,8,3,8.896887655212586,523.7857432311838,2
BW3D,savgol,8,4,10.991764354180896,1412.226258808912,3
BW3D,savgol,8,5,11.746432507657115,1668.142974851757,3
BW3D,savgol,8,6,12.966641007281632,4326.761302027643,3
BW3D,savgol,8,7,20.44300424537592,26281.392001459222,8
BW3D,savgol,8,8,23.773282565385315,43309.00756024921,8
BW3D,savgol,9,1,8.841236409060587,510.7313095700858,2
BW3D,savgol,9,2,11.008289179140293,1422.6709540037466,3
BW3D,savgol,9,3,11.847215368350204,1690.1237835553827,3
BW3D,savgol,9,4,12.633516052458134,3782.444517726955,3
BW3D,savgol,9,5,18.261316726761297,16283.85206285849,6
BW3D,savgol,9,6,19.273715232663417,18910.236247861947,7
BW3D,savgol,9,7,20.724179745348742,28254.81253146975,8
BW3D,savgol,9,8,21.835908145875084,31242.356651186543,8
BW3D,savgol,9,9,23.370030195173,42438.49611704737,8
BW3D,savgol,10,1,8.841245941447959,510.7314072995381,2
BW3D,savgol,10,2,11.010348467782713,1424.068908772907,3
BW3D,savgol,10,3,11.939987377978762,1719.9872336613753,3
BW3D,savgol,10,4,12.238701989297386,2779.262937394243,3
BW3D,savgol,10,5,13.573028630851992,5542.585368496014,3
BW3D,savgol,10,6,15.114563592991184,6476.101798981806,4
BW3D,savgol,10,7,17.783652928013144,15334.013047782872,6
BW3D,savgol,10,8,19.23759368226765,18732.45408413905,7
BW3D,savgol,10,9,20.485685249343256,26439.148689187365,8
BW3D,savgol,10,10,23.77155470579987,43306.91767005133,8
BW3D,savgol,11,1,4.913430721342445,477.911042569021,1
BW3D,savgol,11,2,7.802045488646053,493.0898182632189,2
BW3D,savgol,11,3,9.025928503061404,526.9218606327028,2
BW3D,savgol,11,4,13.787886913110494,5696.728723353799,3
BW3D,savgol,11,5,15.097386332853286,6445.285120426052,4
BW3D,savgol,11,6,17.62586214765761,14549.051687286314,6
BW3D,savgol,11,7,22.936367488501567,39727.90930276547,8
BW3D,savgol,11,8,24.391951731853624,43980.10763908269,8
BW3D,savgol,11,9,25.479898361250722,45415.1031654278,9
BW3D,savgol,11,10,26.22097777376753,47190.008686575784,10
BW3D,savgol,11,11,27.835342385241663,48663.51823647461,11
BW3D,savgol,12,1,4.9017719312328065,477.71071665048356,1
BW3D,savgol,12,2,7.858361036702478,493.68234083118625,2
BW3D,savgol,12,3,8.897962993437341,524.0246407872404,2
BW3D,savgol,12,4,11.006117952905818,1422.0368100939907,3
BW3D,savgol,12,5,11.847215368350206,1690.123783555317,3
BW3D,savgol,12,6,12.633516052458127,3782.4445177267226,3
BW3D,savgol,12,7,18.261316726761287,16283.852062856526,6
BW3D,savgol,12,8,19.273715232663413,18910.236247859433,7
BW3D,savgol,12,9,20.724013377697386,28253.511178491357,8
BW3D,savgol,12,10,21.910840562269126,31456.565004485754,8
BW3D,savgol,12,11,23.108898239293236,40886.81440306002,8
BW3D,savgol,12,12,26.251439525645385,47348.879725970975,10
BW3D,savgol,13,1,3.893616018088844,459.5773672230314,0
BW3D,savgol,13,2,4.83867922941784,477.5174967501469,1
BW3D,savgol,13,3,7.802214760826061,493.0943439668846,2
BW3D,savgol,13,4,9.025928503061396,526.921860632727,2
BW3D,savgol,13,5,13.788969559639332,5699.8128322222665,3
BW3D,savgol,13,6,14.602182388566144,6150.984791556051,4
BW3D,savgol,13,7,20.50558954168863,27383.168608203883,8
BW3D,savgol,13,8,22.05518277613959,32087.11455037657,8
BW3D,savgol,13,9,22.631608643391207,37406.62179872101,8
BW3D,savgol,13,10,23.1706453735283,40562.5767278247,8
BW3D,savgol,13,11,24.330598095468506,43683.67202113193,8
BW3D,savgol,13,12,26.460884621253857,47406.27145096018,10
BW3D,savgol,13,13,27.837096461570987,48664.474705903864,11
BW3D,savgol,14,1,4.9080699858470656,477.818921871962,1
BW3D,savgol,14,2,7.832702612799901,493.38788817286894,2
BW3D,savgol,14,3,8.896958678744117,523.77547996768,2
BW3D,savgol,14,4,11.008202652743138,1423.4413376047523,3
BW3D,savgol,14,5,11.939989127258059,1719.992067043461,3
BW3D,savgol,14,6,12.238701989297384,2779.262937394334,3
BW3D,savgol,14,7,13.573392782336711,5543.629597042082,3
BW3D,savgol,14,8,15.15609342193302,6501.313142270286,4
BW3D,savgol,14,9,15.504098044988272,7038.603984822507,4
BW3D,savgol,14,10,15.95643706355314,9268.417042454663,4
BW3D,savgol,14,11,20.553551037042556,26596.47637514677,8
BW3D,savgol,14,12,23.499324285511907,41858.07452393989,8
BW3D,savgol,14,13,26.26185044319779,47231.926121256416,10
BW3D,savgol,14,14,27.841583444266355,48666.69746074393,11
BW3D,savgol,15,1,4.908069985847165,477.81892187196445,1
BW3D,savgol,15,2,7.832702612800759,493.38788817287343,2
BW3D,savgol,15,3,8.896958678744376,523.7754799677244,2
BW3D,savgol,15,4,11.008202652742852,1423.4413376046637,3
BW3D,savgol,15,5,11.939989127258055,1719.9920670434803,3
BW3D,savgol,15,6,12.238552033074344,2778.5935031065264,3
BW3D,savgol,15,7,13.561826851692206,5512.367754281129,3
BW3D,savgol,15,8,15.41945539331803,6737.79959961263,4
BW3D,savgol,15,9,15.921142922502874,9057.056791622601,4
BW3D,savgol,15,10,16.495374013814615,9783.169524186653,5
BW3D,savgol,15,11,17.52952138880798,14286.155605681257,6
BW3D,savgol,15,12,22.936305792920695,39727.738079851115,8
BW3D,savgol,15,13,24.39259450196966,43982.08249221464,8
BW3D,savgol,15,14,25.44819439407132,45370.33519039839,9
BW3D,savgol,15,15,26.345918436305567,47435.912059135415,10
