Vertical Position [m],Corrected sp Cond [uS/cm]
4.617,5526.0
4.618,5526.0
4.628,5526.0
4.635,5526.0
4.642,5526.0
4.649,5526.0
4.663,5526.0
4.668,5526.0
4.674,5526.1
4.687,5518.450000000001
4.688,5511.2
4.691,5511.85
4.692,5510.3
4.694,5526.2
4.697,5526.3
4.7,5512.5
4.702,5512.45
4.703,5513.0
4.704,5513.950000000001
4.711,5515.1
4.712,5520.5
4.716,5509.3
4.719,5520.8
4.72,5526.4
4.721,5517.299999999999
4.722,5517.7
4.724,5517.0
4.728,5526.5
4.73,5518.0
4.732,5526.5
4.733,5522.55
4.734,5520.533333333333
4.736,5521.1
4.737,5523.0
4.738,5524.914583333332
4.739,5523.81655629139
4.74,5524.546601941747
4.741,5524.997167755991
4.742,5525.153550295858
4.743,5525.376175040519
4.744,5527.183430232559
4.745,5528.783734939759
4.746,5530.323170731707
4.747,5529.746774193549
4.748,5528.51891891892
4.749,5528.811111111111
4.75,5528.142857142857
4.751,5528.5
4.752,5519.1
4.757,5519.4
4.765,5509.1
4.773,5519.7
4.774,5506.9
4.787,5519.8
4.801,5508.6
4.805,5520.2
4.811,5520.4
4.817,5507.4
4.826,5508.0
4.831,5520.6
4.837,5521.0
4.841,5521.2
4.869,5521.6
4.881,5521.9
4.886,5522.1
4.903,5522.6
4.911,5523.1
4.922,5523.8
4.926,5524.2
4.942,5524.9
4.952,5525.6
4.957,5525.8
4.968,5525.9
4.97,5525.9
4.971,5526.1
4.978,5526.2
4.981,5526.5
4.982,5526.9
4.997,5527.5
5.003,5528.2
5.01,5529.1
5.016,5529.7
5.031,5530.8
5.034,5532.0
5.036,5533.3
5.055,5534.6
5.062,5536.7
5.068,5538.9
5.083,5541.0
5.092,5542.1
5.095,5544.3
5.109,5546.5
5.117,5548.8
5.122,5551.2
5.129,5553.6
5.141,5556.0
5.145,5558.5
5.155,5560.9
5.161,5562.1
5.165,5564.6
5.168,5567.1
5.18,5569.8
5.184,5572.5
5.187,5575.0
5.194,5577.5
5.197,5580.35
5.204,5583.5
5.209,5586.1
5.213,5588.8
5.218,5591.5
5.229,5594.3
5.233,5597.2
5.234,5600.1
5.247,5603.0
5.252,5604.5
5.254,5607.5
5.265,5610.6
5.269,5614.950000000001
5.273,5618.9
5.28,5621.4
5.282,5624.0
5.286,5625.3
5.296,5628.1
5.299,5631.3
5.304,5634.6
5.312,5638.6
5.317,5642.8
5.318,5646.9
5.33,5650.9
5.337,5653.2
5.339,5657.9
5.353,5662.6
5.358,5667.3
5.364,5672.0
5.37,5676.7
5.38,5680.7
5.383,5684.5
5.384,5688.4
5.398,5690.3
5.403,5694.5
5.407,5699.0
5.416,5703.5
5.422,5708.1
5.423,5713.0
5.432,5717.9
5.436,5723.0
5.438,5728.6
5.446,5734.6
5.45,5737.8
5.454,5744.2
5.455,5750.7
5.466,5757.3
5.469,5767.85
5.479,5779.6
5.484,5788.2
5.488,5792.6
5.494,5801.3
5.498,5809.8
5.5,5818.3
5.504,5826.8
5.513,5835.4
5.515,5839.9
5.522,5840.2
5.526,5840.3
5.53,6219.2
5.534,6265.9
5.547,6256.3
5.554,6248.6
5.556,6252.7
5.566,6250.1
5.571,6248.3
5.572,6228.8
5.576,6238.5
5.587,6216.7
5.588,6176.9
5.589,6158.9
5.591,6150.7
5.596,6186.0
5.601,6203.8
5.603,6228.2
5.618,6266.3
5.625,6298.1
5.629,6321.5
5.637,6337.3
5.641,6350.75
5.65,6363.3
5.665,6371.1
5.669,6377.9
5.671,6384.3
5.687,6391.1
5.69,6398.7
5.691,6395.9
5.694,6401.6
5.696,6407.0
5.698,6403.4
5.706,6411.4
5.71,6416.0
5.713,6420.2
5.72,6424.5
5.726,6429.4
5.732,6435.4
5.737,6438.5
5.746,6444.6
5.751,6450.4
5.753,6456.0
5.766,6461.7
5.774,6468.5
5.777,6475.3
5.79,6482.0
5.796,6488.2
5.8,6491.2
5.805,6497.1
5.814,6502.7
5.818,6508.2
5.828,6514.2
5.834,6520.3
5.84,6526.3
5.844,6532.5
5.857,6535.6
5.862,6541.8
5.863,6547.8
5.875,6553.6
5.881,6559.1
5.887,6564.4
5.893,6569.6
5.908,6574.7
5.912,6577.2
5.915,6588.9
5.929,6600.5
5.934,6610.7
5.939,6618.9
5.952,6626.4
5.958,6634.0
5.959,6641.6
5.969,6649.8
5.975,6654.0
5.98,6662.3
5.988,6670.3
5.994,6678.0
5.995,6686.0
6.0,6693.9
6.01,6700.7
6.015,6707.8
6.02,6711.6
6.03,6719.7
6.032,6734.7
6.033,6727.3
6.039,6741.7
6.046,6748.5
6.048,6755.3
6.061,6761.9
6.069,6767.9
6.073,6770.7
6.076,6775.8
6.084,6780.8
6.085,6785.8
6.086,6790.7
6.096,6794.9
6.102,6799.0
6.105,6803.1
6.122,6805.2
6.132,6809.3
